SKU,Stock Location,Stock available level at location,Stock level at location,Stock value at location,Category,ItemTitle,Purchase Price,Due Stock Value,Due,Is Variation Parent,Is Archived
HX1.92TSSDSATA3-UF,Sharjah,5,5,144.00,Trade SSD/SSHD USED,1.92TB SSDSATA3  USED FAULTY,28.8,0,0,FALSE,FALSE
HX1.92TSSDSATA3-U-LH,Default,7,7,202.64,Trade SSD/SSHD USED,1.92TB SSDSATA3 LOW HEALTH USED,28.949024,0,0,FALSE,FALSE
HX1.92TSSDSATA3-U-LH,Sharjah,8,8,230.40,Trade SSD/SSHD USED,1.92TB SSDSATA3 LOW HEALTH USED,28.949024,0,0,FALSE,FALSE
HX100GSSDM2-2242-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2242 70-79% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2-2242-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2242 80-89% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2-2242-UF,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2242  USED FAULTY,0,0,0,FALSE,FALSE
HX100GSSDM2-2242-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2242 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX100GSSDM2-2260-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2260 70-79% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2-2260-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2260 80-89% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2-2260-UF,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2260  USED FAULTY,0,0,0,FALSE,FALSE
HX100GSSDM2-2260-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2260 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX100GSSDM2-2280-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2280 70-79% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2-2280-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2280 80-89% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2-2280-UF,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2280  USED FAULTY,0,0,0,FALSE,FALSE
HX100GSSDM2-2280-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  2280 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX100GSSDM2PCIE-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2 PCIE 70-79% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2PCIE-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2 PCIE 80-89% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2PCIE-UF,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2 PCIE  USED FAULTY,0,0,0,FALSE,FALSE
HX100GSSDM2PCIE-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2 PCIE LOW HEALTH USED,0,0,0,FALSE,FALSE
HX100GSSDM2-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2 70-79% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2 80-89% health USED,0,0,0,FALSE,FALSE
HX100GSSDM2-UF,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2  USED FAULTY,0,0,0,FALSE,FALSE
HX100GSSDM2-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD M2 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX100GSSDMSATA-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD MSATA 70-79% health USED,0,0,0,FALSE,FALSE
HX100GSSDMSATA-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD MSATA 80-89% health USED,0,0,0,FALSE,FALSE
HX100GSSDMSATA-UF,Default,0,0,0.00,Trade SSD/SSHD USED,100GB SSD MSATA  USED FAULTY,0,0,0,FALSE,FALSE
