ItemNumber,Location,FinalStockLevel,FinalStockValue,PurchasePrice
2.5-128-SATA-SSD,Default,0.0,0.0,2.932817681
2.5-150-SATA-SSD,Default,0.0,0.0,3.25
2.5-160-SATA-SSD,Default,0.0,0.0,2.75
2.5-160-SATA-SSD,Sharjah,0.0,0.0,4.68
2.5-16-SATA-SSD,Default,0.0,0.0,0.002083333333
2.5-180-SATA-SSD,Default,0.0,0.0,3.0
2.5-1T-SATA-SSD,Default,0.0,0.0,20.17191087
2.5-200-SATA-SSD,Default,0.0,0.0,3.25
2.5-200-SATA-SSD,Sharjah,0.0,0.0,3.85
2.5-20-SATA-SSD,Default,0.0,0.0,0.192209625
2.5-240-SATA-SSD,Default,0.0,0.0,6.173663654
2.5-24-SATA-SSD,Default,0.0,0.0,0.0
2.5-250-SATA-SSD,Default,0.0,0.0,6.248369071
2.5-256-SATA-SSD,Default,0.0,0.0,6.483070924
2.5-275-SATA-SSD,Default,0.0,0.0,6.650188157
2.5-2T-SATA-SSD,Default,0.0,0.0,45.807175
2.5-300-SATA-SSD,Default,0.0,0.0,7.166263667
2.5-30-SATA-SSD,Default,0.0,0.0,1.0
2.5-32-SATA-SSD,Default,0.0,0.0,0.1
2.5-340-SATA-SSD,Default,0.0,0.0,0.0
2.5-360-SATA-SSD,Default,0.0,0.0,8.0443895
2.5-400G-SAS3-512n-SSD-builds,Default,23.0,118.17,5.1378260869565215
2.5-400-SATA-SSD,Default,0.0,0.0,7.9
2.5-400-SATA-SSD,Sharjah,0.0,0.0,7.9
2.5-40-SATA-SSD,Default,0.0,0.0,0.1
2.5-480-SATA-SSD,Default,0.0,0.0,11.16072053
2.5-4-SATA-SSD,Default,0.0,0.0,0.0
2.5-500-SATA-SSD,Default,0.0,0.0,11.10813516
2.5-50-SATA-SSD,Default,0.0,0.0,0.0
2.5-512-SATA-SSD,Default,0.0,0.0,11.58452515
2.5-600G-SAS2-512n-10K-builds,Default,0.0,0.0,0.425749
2.5-600-SATA-SSD,Default,0.0,0.0,12.70123126
2.5-60-SATA-SSD,Default,0.0,0.0,0.3
2.5-64-SATA-SSD,Default,0.0,0.0,0.3036051433
2.5-64-SATA-SSD,Sharjah,0.0,0.0,0.55
2.5-750-SATA-SSD,Default,0.0,0.0,0.0
2.5-800-SATA-SSD,Default,0.0,0.0,15.164172
2.5-80-SATA-SSD,Default,0.0,0.0,0.4
2.5-8-SATA-SSD,Default,0.0,0.0,0.0
2.5-90-SATA-SSD,Default,0.0,0.0,0.768108
2.5-960-SATA-SSD,Default,0.0,0.0,18.8394544
2029P-E1CR24H,Default,1.0,20.0,20.0
20GBMSATA,Default,0.0,0.0,0.3
214-960-5F3,Default,0.0,0.0,0.0
23PX06,Default,2.0,0.02,0.01
240GBMSATA,Default,0.0,0.0,5.0
249824E 2498-B24/24E+16Active-Ports,Default,3.0,45.0,15.0
2498-B24/24E,Default,1.0,5.0,5.0
2498-B40/40E,Default,2.0,40.0,20.0
24GBMSATA,Default,0.0,0.0,0.1
250GBMSATA,Default,0.0,0.0,5.997567667
2530-24-J9782A,Default,0.0,0.0,3.5
256GBMSATA,Default,1.0,7.0,7.0
261-EF6-ED9,Default,0.0,0.0,0.0
2960-C,Default,0.0,0.0,0.0
2AA201-038,Default,1.0,10.0,10.0
2C2CP,Default,46.0,843.4736170212766,18.336382978723403
2G08-D3,Default,4680.0,159.05,0.033985042735042735
2G08-D3,UK-Reballing,56946.0,2635.58,0.04628209180627261
2G08-D4,Default,0.0,0.0,0.19
2nd Gen,Default,0.0,0.0,0.0
2PHG9-HP,Default,0.0,0.0,0.85237
2TBHDD,Default,0.0,0.0,10.9820432
2TBHDD,Gaming PC & Laptops,87.0,954.0495652173913,10.966086956521739
2TBHDD-UF,Default,0.0,0.0,0.0
2TRM4,Default,0.0,0.0,2.0
3.5-10T-SAS-07FPR,Default,0.0,0.0,10.0
3.5-10T-SAS-YF87J,Default,0.0,0.0,0.01
3.5-3T-SAS2-0KK92,Default,47.0,47.0,1.0
3.5-3T-SAS2-1CJF5,Default,0.0,0.0,1.0
3.5-3T-SAS-C 4CMD9,Default,97.0,97.0,1.0
3.5-4T-SAS3-512n-builds,Default,0.0,0.0,0.851499
30-1301-02,Default,10.0,0.5,0.05
301-FAC-DF8,Default,0.0,0.0,5.0
30GBMSATA,Default,0.0,0.0,12.0
32GBMSATA,Default,0.0,0.0,0.0
32GDDR4-U 1RX4,Default,0.0,0.0,0.0
336045-B21,Default,0.0,0.0,2.0
3400-UF,Default,0.0,0.0,97.25644633
341-000028-79 A,Default,2.0,0.1,0.05
341-000561-63,Default,2.0,0.1,0.05
341-0441-03,Default,4.0,17.03,4.2575
341-0571-01,Default,12.0,51.09,4.2575
341-0571-02,Default,4.0,17.03,4.2575
341-0720-01,Default,10.0,42.57,4.257
341-0720-02,Default,12.0,51.09,4.2575
